"uuid","muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"579-20200404","579","Oegstgeest",5,24843,20.1,"2020-04-04"
"823-20200404","823","Oirschot",9,18723,48.1,"2020-04-04"
"824-20200404","824","Oisterwijk",10,26241,38.1,"2020-04-04"
"1895-20200404","1895","Oldambt",1,38213,2.6,"2020-04-04"
"269-20200404","269","Oldebroek",9,23645,38.1,"2020-04-04"
"173-20200404","173","Oldenzaal",10,31832,31.4,"2020-04-04"
"1773-20200404","1773","Olst-Wijhe",6,18251,32.9,"2020-04-04"
"175-20200404","175","Ommen",6,18007,33.3,"2020-04-04"
"1586-20200404","1586","Oost Gelre",3,29623,10.1,"2020-04-04"
"826-20200404","826","Oosterhout",25,55990,44.7,"2020-04-04"
"85-20200404","85","Ooststellingwerf",1,25472,3.9,"2020-04-04"
"431-20200404","431","Oostzaan",5,9733,51.4,"2020-04-04"
"432-20200404","432","Opmeer",1,11837,8.4,"2020-04-04"
"86-20200404","86","Opsterland",5,29742,16.8,"2020-04-04"
"828-20200404","828","Oss",96,91932,104.4,"2020-04-04"
"1509-20200404","1509","Oude IJsselstreek",4,39392,10.2,"2020-04-04"
"437-20200404","437","Ouder-Amstel",4,14029,28.5,"2020-04-04"
"589-20200404","589","Oudewater",16,10226,156.5,"2020-04-04"
"1734-20200404","1734","Overbetuwe",43,47909,89.8,"2020-04-04"
"590-20200404","590","Papendrecht",3,32133,9.3,"2020-04-04"
"1894-20200404","1894","Peel en Maas",117,43420,269.5,"2020-04-04"
"765-20200404","765","Pekela",4,12199,32.8,"2020-04-04"
"1926-20200404","1926","Pijnacker-Nootdorp",11,55329,19.9,"2020-04-04"
"439-20200404","439","Purmerend",47,81233,57.9,"2020-04-04"
"273-20200404","273","Putten",1,24113,4.1,"2020-04-04"
"177-20200404","177","Raalte",18,37709,47.7,"2020-04-04"
"703-20200404","703","Reimerswaal",4,22728,17.6,"2020-04-04"
"274-20200404","274","Renkum",11,31404,35,"2020-04-04"
"339-20200404","339","Renswoude",3,5448,55.1,"2020-04-04"
"1667-20200404","1667","Reusel-De Mierden",7,13110,53.4,"2020-04-04"
"275-20200404","275","Rheden",28,43736,64,"2020-04-04"
"340-20200404","340","Rhenen",3,20125,14.9,"2020-04-04"
"597-20200404","597","Ridderkerk",24,46204,51.9,"2020-04-04"
"1742-20200404","1742","Rijssen-Holten",15,38178,39.3,"2020-04-04"
"603-20200404","603","Rijswijk",14,54432,25.7,"2020-04-04"
"1669-20200404","1669","Roerdalen",18,20572,87.5,"2020-04-04"
"957-20200404","957","Roermond",36,58254,61.8,"2020-04-04"
"1674-20200404","1674","Roosendaal",15,77226,19.4,"2020-04-04"
"599-20200404","599","Rotterdam",172,651376,26.4,"2020-04-04"
"277-20200404","277","Rozendaal",1,1705,58.7,"2020-04-04"
"840-20200404","840","Rucphen",5,22873,21.9,"2020-04-04"
"518-20200404","518","s-Gravenhage",121,545163,22.2,"2020-04-04"
"441-20200404","441","Schagen",12,46482,25.8,"2020-04-04"
"279-20200404","279","Scherpenzeel",0,9880,0,"2020-04-04"
"606-20200404","606","Schiedam",23,78739,29.2,"2020-04-04"
"88-20200404","88","Schiermonnikoog",0,947,0,"2020-04-04"
"1676-20200404","1676","Schouwen-Duiveland",8,33858,23.6,"2020-04-04"
"965-20200404","965","Simpelveld",14,10552,132.7,"2020-04-04"
"1702-20200404","1702","Sint Anthonis",15,11672,128.5,"2020-04-04"
"845-20200404","845","Sint-Michielsgestel",15,29203,51.4,"2020-04-04"
"1883-20200404","1883","Sittard-Geleen",65,92422,70.3,"2020-04-04"
"610-20200404","610","Sliedrecht",3,25217,11.9,"2020-04-04"
"1714-20200404","1714","Sluis",4,23217,17.2,"2020-04-04"
"90-20200404","90","Smallingerland",5,56154,8.9,"2020-04-04"
"342-20200404","342","Soest",14,46607,30,"2020-04-04"
"847-20200404","847","Someren",20,19376,103.2,"2020-04-04"
"848-20200404","848","Son en Breugel",22,17321,127,"2020-04-04"
"37-20200404","37","Stadskanaal",0,31688,0,"2020-04-04"
"180-20200404","180","Staphorst",4,17144,23.3,"2020-04-04"
"532-20200404","532","Stede Broec",13,21734,59.8,"2020-04-04"
"851-20200404","851","Steenbergen",8,24501,32.7,"2020-04-04"
"1708-20200404","1708","Steenwijkerland",8,44139,18.1,"2020-04-04"
"971-20200404","971","Stein",26,25000,104,"2020-04-04"
"1904-20200404","1904","Stichtse Vecht",20,64928,30.8,"2020-04-04"
"1900-20200404","1900","Súdwest-Fryslân",13,89987,14.4,"2020-04-04"
"715-20200404","715","Terneuzen",15,54438,27.6,"2020-04-04"
"93-20200404","93","Terschelling",0,4889,0,"2020-04-04"
"448-20200404","448","Texel",2,13573,14.7,"2020-04-04"
"1525-20200404","1525","Teylingen",10,37426,26.7,"2020-04-04"
"716-20200404","716","Tholen",30,25758,116.5,"2020-04-04"
"281-20200404","281","Tiel",24,42161,56.9,"2020-04-04"
"855-20200404","855","Tilburg",139,219800,63.2,"2020-04-04"
"183-20200404","183","Tubbergen",9,21279,42.3,"2020-04-04"
"1700-20200404","1700","Twenterand",7,33743,20.7,"2020-04-04"
"1730-20200404","1730","Tynaarlo",7,33879,20.7,"2020-04-04"
"737-20200404","737","Tytsjerksteradiel",3,32046,9.4,"2020-04-04"
"856-20200404","856","Uden",81,42122,192.3,"2020-04-04"
"450-20200404","450","Uitgeest",3,13649,22,"2020-04-04"
"451-20200404","451","Uithoorn",9,29466,30.5,"2020-04-04"
"184-20200404","184","Urk",14,21033,66.6,"2020-04-04"
"344-20200404","344","Utrecht",111,357694,31,"2020-04-04"
"1581-20200404","1581","Utrechtse Heuvelrug",15,49601,30.2,"2020-04-04"
"981-20200404","981","Vaals",6,10099,59.4,"2020-04-04"
"994-20200404","994","Valkenburg aan de Geul",8,16360,48.9,"2020-04-04"
"858-20200404","858","Valkenswaard",10,31200,32.1,"2020-04-04"
"47-20200404","47","Veendam",1,27387,3.7,"2020-04-04"
"345-20200404","345","Veenendaal",9,66491,13.5,"2020-04-04"
"717-20200404","717","Veere",3,21885,13.7,"2020-04-04"
"861-20200404","861","Veldhoven",15,45458,33,"2020-04-04"
"453-20200404","453","Velsen",17,68660,24.8,"2020-04-04"
"983-20200404","983","Venlo",83,101797,81.5,"2020-04-04"
"984-20200404","984","Venray",25,43604,57.3,"2020-04-04"
"1961-20200404","1961","Vijfheerenlanden",16,56816,28.2,"2020-04-04"
"622-20200404","622","Vlaardingen",18,73445,24.5,"2020-04-04"
"96-20200404","96","Vlieland",0,1152,0,"2020-04-04"
"718-20200404","718","Vlissingen",6,44365,13.5,"2020-04-04"
"986-20200404","986","Voerendaal",9,12471,72.2,"2020-04-04"
"626-20200404","626","Voorschoten",7,25603,27.3,"2020-04-04"
"285-20200404","285","Voorst",7,24546,28.5,"2020-04-04"
"865-20200404","865","Vught",27,26554,101.7,"2020-04-04"
"1949-20200404","1949","Waadhoeke",5,46079,10.9,"2020-04-04"
"866-20200404","866","Waalre",3,17454,17.2,"2020-04-04"
"867-20200404","867","Waalwijk",17,48620,35,"2020-04-04"
"627-20200404","627","Waddinxveen",7,29293,23.9,"2020-04-04"
"289-20200404","289","Wageningen",8,39673,20.2,"2020-04-04"
"629-20200404","629","Wassenaar",2,26214,7.6,"2020-04-04"
"852-20200404","852","Waterland",9,17422,51.7,"2020-04-04"
"988-20200404","988","Weert",34,50107,67.9,"2020-04-04"
"457-20200404","457","Weesp",5,19729,25.3,"2020-04-04"
"1960-20200404","1960","West Betuwe",18,51198,35.2,"2020-04-04"
"668-20200404","668","West Maas en Waal",9,19320,46.6,"2020-04-04"
"1969-20200404","1969","Westerkwartier",10,63375,15.8,"2020-04-04"
"1701-20200404","1701","Westerveld",3,19460,15.4,"2020-04-04"
"293-20200404","293","Westervoort",4,14973,26.7,"2020-04-04"
"1950-20200404","1950","Westerwolde",4,25796,15.5,"2020-04-04"
"1783-20200404","1783","Westland",32,110357,29,"2020-04-04"
"98-20200404","98","Weststellingwerf",2,25916,7.7,"2020-04-04"
"614-20200404","614","Westvoorne",5,14728,33.9,"2020-04-04"
"189-20200404","189","Wierden",2,24440,8.2,"2020-04-04"
"296-20200404","296","Wijchen",33,41124,80.2,"2020-04-04"
"1696-20200404","1696","Wijdemeren",5,24360,20.5,"2020-04-04"
"352-20200404","352","Wijk bij Duurstede",7,23910,29.3,"2020-04-04"
"294-20200404","294","Winterswijk",1,28865,3.5,"2020-04-04"
"873-20200404","873","Woensdrecht",4,21883,18.3,"2020-04-04"
"632-20200404","632","Woerden",28,52294,53.5,"2020-04-04"
"880-20200404","880","Wormerland",12,16299,73.6,"2020-04-04"
"351-20200404","351","Woudenberg",5,13362,37.4,"2020-04-04"
"479-20200404","479","Zaanstad",70,156711,44.7,"2020-04-04"
"297-20200404","297","Zaltbommel",10,28901,34.6,"2020-04-04"
"473-20200404","473","Zandvoort",7,17116,40.9,"2020-04-04"
"50-20200404","50","Zeewolde",5,22656,22.1,"2020-04-04"
"355-20200404","355","Zeist",20,64932,30.8,"2020-04-04"
"299-20200404","299","Zevenaar",24,43740,54.9,"2020-04-04"
"637-20200404","637","Zoetermeer",25,125283,20,"2020-04-04"
"638-20200404","638","Zoeterwoude",2,8611,23.2,"2020-04-04"
"1892-20200404","1892","Zuidplas",12,43894,27.3,"2020-04-04"
"879-20200404","879","Zundert",14,21821,64.2,"2020-04-04"
"301-20200404","301","Zutphen",10,47942,20.9,"2020-04-04"
"1896-20200404","1896","Zwartewaterland",22,22690,97,"2020-04-04"
"642-20200404","642","Zwijndrecht",11,44741,24.6,"2020-04-04"
"193-20200404","193","Zwolle",35,128831,27.2,"2020-04-04"
"796-20200404","796","'s-Hertogenbosch",81,155113,52.2,"2020-04-04"
"1680-20200404","1680","Aa en Hunze",1,25453,3.9,"2020-04-04"
"358-20200404","358","Aalsmeer",7,31857,22,"2020-04-04"
"197-20200404","197","Aalten",1,27117,3.7,"2020-04-04"
"59-20200404","59","Achtkarspelen",0,27836,0,"2020-04-04"
"482-20200404","482","Alblasserdam",5,20165,24.8,"2020-04-04"
"613-20200404","613","Albrandswaard",5,25589,19.5,"2020-04-04"
"361-20200404","361","Alkmaar",33,109444,30.2,"2020-04-04"
"141-20200404","141","Almelo",13,73080,17.8,"2020-04-04"
"34-20200404","34","Almere",72,211840,34,"2020-04-04"
"484-20200404","484","Alphen aan den Rijn",37,111889,33.1,"2020-04-04"
"1723-20200404","1723","Alphen-Chaam",11,10213,107.7,"2020-04-04"
"1959-20200404","1959","Altena",21,55980,37.5,"2020-04-04"
"60-20200404","60","Ameland",0,3718,0,"2020-04-04"
"307-20200404","307","Amersfoort",34,157279,21.6,"2020-04-04"
"362-20200404","362","Amstelveen",37,91691,40.4,"2020-04-04"
"363-20200404","363","Amsterdam",306,872779,35.1,"2020-04-04"
"200-20200404","200","Apeldoorn",26,163829,15.9,"2020-04-04"
"3-20200404","3","Appingedam",2,11644,17.2,"2020-04-04"
"202-20200404","202","Arnhem",39,161368,24.2,"2020-04-04"
"106-20200404","106","Assen",7,68606,10.2,"2020-04-04"
"743-20200404","743","Asten",8,16734,47.8,"2020-04-04"
"744-20200404","744","Baarle-Nassau",1,6860,14.6,"2020-04-04"
"308-20200404","308","Baarn",7,24873,28.1,"2020-04-04"
"489-20200404","489","Barendrecht",21,48713,43.1,"2020-04-04"
"203-20200404","203","Barneveld",9,59077,15.2,"2020-04-04"
"888-20200404","888","Beek",10,15868,63,"2020-04-04"
"1954-20200404","1954","Beekdaelen",29,35976,80.6,"2020-04-04"
"370-20200404","370","Beemster",4,10025,39.9,"2020-04-04"
"889-20200404","889","Beesel",11,13483,81.6,"2020-04-04"
"1945-20200404","1945","Berg en Dal",23,34990,65.7,"2020-04-04"
"1724-20200404","1724","Bergeijk",9,18638,48.3,"2020-04-04"
"893-20200404","893","Bergen (L.)",3,13085,22.9,"2020-04-04"
"373-20200404","373","Bergen (NH.)",11,29844,36.9,"2020-04-04"
"748-20200404","748","Bergen op Zoom",14,67489,20.7,"2020-04-04"
"1859-20200404","1859","Berkelland",1,43748,2.3,"2020-04-04"
"1721-20200404","1721","Bernheze",69,31247,220.8,"2020-04-04"
"753-20200404","753","Best",24,29985,80,"2020-04-04"
"209-20200404","209","Beuningen",15,25891,57.9,"2020-04-04"
"375-20200404","375","Beverwijk",9,41613,21.6,"2020-04-04"
"1728-20200404","1728","Bladel",12,20395,58.8,"2020-04-04"
"376-20200404","376","Blaricum",5,11536,43.3,"2020-04-04"
"377-20200404","377","Bloemendaal",4,23570,17,"2020-04-04"
"1901-20200404","1901","Bodegraven-Reeuwijk",5,34869,14.3,"2020-04-04"
"755-20200404","755","Boekel",27,10784,250.4,"2020-04-04"
"1681-20200404","1681","Borger-Odoorn",2,25558,7.8,"2020-04-04"
"147-20200404","147","Borne",13,23313,55.8,"2020-04-04"
"654-20200404","654","Borsele",3,22738,13.2,"2020-04-04"
"756-20200404","756","Boxmeer",13,29371,44.3,"2020-04-04"
"757-20200404","757","Boxtel",11,30803,35.7,"2020-04-04"
"758-20200404","758","Breda",126,184271,68.4,"2020-04-04"
"501-20200404","501","Brielle",7,17282,40.5,"2020-04-04"
"1876-20200404","1876","Bronckhorst",1,36052,2.8,"2020-04-04"
"213-20200404","213","Brummen",6,20756,28.9,"2020-04-04"
"899-20200404","899","Brunssum",24,27817,86.3,"2020-04-04"
"312-20200404","312","Bunnik",5,15191,32.9,"2020-04-04"
"313-20200404","313","Bunschoten",2,21867,9.1,"2020-04-04"
"214-20200404","214","Buren",6,26742,22.4,"2020-04-04"
"502-20200404","502","Capelle aan den IJssel",23,67151,34.3,"2020-04-04"
"383-20200404","383","Castricum",12,35988,33.3,"2020-04-04"
"109-20200404","109","Coevorden",7,35296,19.8,"2020-04-04"
"1706-20200404","1706","Cranendonck",44,21166,207.9,"2020-04-04"
"1684-20200404","1684","Cuijk",6,25139,23.9,"2020-04-04"
"216-20200404","216","Culemborg",18,28956,62.2,"2020-04-04"
"148-20200404","148","Dalfsen",10,28585,35,"2020-04-04"
"1891-20200404","1891","Dantumadiel",2,18916,10.6,"2020-04-04"
"310-20200404","310","De Bilt",16,43124,37.1,"2020-04-04"
"1940-20200404","1940","De Fryske Marren",12,51567,23.3,"2020-04-04"
"736-20200404","736","De Ronde Venen",17,44457,38.2,"2020-04-04"
"1690-20200404","1690","De Wolden",2,24327,8.2,"2020-04-04"
"503-20200404","503","Delft",25,103659,24.1,"2020-04-04"
"10-20200404","10","Delfzijl",4,24666,16.2,"2020-04-04"
"400-20200404","400","Den Helder",7,56305,12.4,"2020-04-04"
"762-20200404","762","Deurne",44,32474,135.5,"2020-04-04"
"150-20200404","150","Deventer",26,100718,25.8,"2020-04-04"
"384-20200404","384","Diemen",4,30781,13,"2020-04-04"
"1774-20200404","1774","Dinkelland",16,26470,60.4,"2020-04-04"
"221-20200404","221","Doesburg",3,11078,27.1,"2020-04-04"
"222-20200404","222","Doetinchem",6,58009,10.3,"2020-04-04"
"766-20200404","766","Dongen",11,26226,41.9,"2020-04-04"
"505-20200404","505","Dordrecht",45,119300,37.7,"2020-04-04"
"498-20200404","498","Drechterland",1,19717,5.1,"2020-04-04"
"1719-20200404","1719","Drimmelen",14,27274,51.3,"2020-04-04"
"303-20200404","303","Dronten",15,41569,36.1,"2020-04-04"
"225-20200404","225","Druten",16,18918,84.6,"2020-04-04"
"226-20200404","226","Duiven",5,25124,19.9,"2020-04-04"
"1711-20200404","1711","Echt-Susteren",23,31618,72.7,"2020-04-04"
"385-20200404","385","Edam-Volendam",14,36201,38.7,"2020-04-04"
"228-20200404","228","Ede",34,117166,29,"2020-04-04"
"317-20200404","317","Eemnes",1,9247,10.8,"2020-04-04"
"770-20200404","770","Eersel",18,19314,93.2,"2020-04-04"
"1903-20200404","1903","Eijsden-Margraten",29,25753,112.6,"2020-04-04"
"772-20200404","772","Eindhoven",87,234456,37.1,"2020-04-04"
"230-20200404","230","Elburg",4,23161,17.3,"2020-04-04"
"114-20200404","114","Emmen",9,107055,8.4,"2020-04-04"
"388-20200404","388","Enkhuizen",14,18592,75.3,"2020-04-04"
"153-20200404","153","Enschede",34,159734,21.3,"2020-04-04"
"232-20200404","232","Epe",11,33186,33.1,"2020-04-04"
"233-20200404","233","Ermelo",12,27005,44.4,"2020-04-04"
"777-20200404","777","Etten-Leur",31,43880,70.6,"2020-04-04"
"779-20200404","779","Geertruidenberg",9,21538,41.8,"2020-04-04"
"1771-20200404","1771","Geldrop-Mierlo",18,39733,45.3,"2020-04-04"
"1652-20200404","1652","Gemert-Bakel",61,30725,198.5,"2020-04-04"
"907-20200404","907","Gennep",11,16924,65,"2020-04-04"
"784-20200404","784","Gilze en Rijen",15,26438,56.7,"2020-04-04"
"1924-20200404","1924","Goeree-Overflakkee",33,50049,65.9,"2020-04-04"
"664-20200404","664","Goes",8,38080,21,"2020-04-04"
"785-20200404","785","Goirle",20,23906,83.7,"2020-04-04"
"1942-20200404","1942","Gooise Meren",16,58041,27.6,"2020-04-04"
"512-20200404","512","Gorinchem",10,37009,27,"2020-04-04"
"513-20200404","513","Gouda",21,73443,28.6,"2020-04-04"
"786-20200404","786","Grave",14,12437,112.6,"2020-04-04"
"14-20200404","14","Groningen",13,232922,5.6,"2020-04-04"
"1729-20200404","1729","Gulpen-Wittem",10,14176,70.5,"2020-04-04"
"158-20200404","158","Haaksbergen",9,24309,37,"2020-04-04"
"788-20200404","788","Haaren",14,14371,97.4,"2020-04-04"
"392-20200404","392","Haarlem",34,162961,20.9,"2020-04-04"
"394-20200404","394","Haarlemmermeer",39,156039,25,"2020-04-04"
"1655-20200404","1655","Halderberge",9,30277,29.7,"2020-04-04"
"160-20200404","160","Hardenberg",10,60940,16.4,"2020-04-04"
"243-20200404","243","Harderwijk",8,48429,16.5,"2020-04-04"
"523-20200404","523","Hardinxveld-Giessendam",1,18295,5.5,"2020-04-04"
"72-20200404","72","Harlingen",2,15720,12.7,"2020-04-04"
"244-20200404","244","Hattem",6,12213,49.1,"2020-04-04"
"396-20200404","396","Heemskerk",18,39188,45.9,"2020-04-04"
"397-20200404","397","Heemstede",8,27239,29.4,"2020-04-04"
"246-20200404","246","Heerde",20,18587,107.6,"2020-04-04"
"74-20200404","74","Heerenveen",9,50494,17.8,"2020-04-04"
"398-20200404","398","Heerhugowaard",22,57592,38.2,"2020-04-04"
"917-20200404","917","Heerlen",74,87057,85,"2020-04-04"
"1658-20200404","1658","Heeze-Leende",7,16150,43.3,"2020-04-04"
"399-20200404","399","Heiloo",7,23974,29.2,"2020-04-04"
"163-20200404","163","Hellendoorn",6,35923,16.7,"2020-04-04"
"530-20200404","530","Hellevoetsluis",7,40158,17.4,"2020-04-04"
"794-20200404","794","Helmond",54,92432,58.4,"2020-04-04"
"531-20200404","531","Hendrik-Ido-Ambacht",3,31204,9.6,"2020-04-04"
"164-20200404","164","Hengelo",10,81147,12.3,"2020-04-04"
"1966-20200404","1966","Het Hogeland",5,47834,10.5,"2020-04-04"
"252-20200404","252","Heumen",12,16450,72.9,"2020-04-04"
"797-20200404","797","Heusden",31,44699,69.4,"2020-04-04"
"534-20200404","534","Hillegom",5,22208,22.5,"2020-04-04"
"798-20200404","798","Hilvarenbeek",6,15514,38.7,"2020-04-04"
"402-20200404","402","Hilversum",17,90883,18.7,"2020-04-04"
"1963-20200404","1963","Hoeksche Waard",49,87461,56,"2020-04-04"
"1735-20200404","1735","Hof van Twente",10,35013,28.6,"2020-04-04"
"1911-20200404","1911","Hollands Kroon",23,48434,47.5,"2020-04-04"
"118-20200404","118","Hoogeveen",7,55697,12.6,"2020-04-04"
"405-20200404","405","Hoorn",18,73232,24.6,"2020-04-04"
"1507-20200404","1507","Horst aan de Maas",34,42433,80.1,"2020-04-04"
"321-20200404","321","Houten",13,50146,25.9,"2020-04-04"
"406-20200404","406","Huizen",13,41273,31.5,"2020-04-04"
"677-20200404","677","Hulst",4,27556,14.5,"2020-04-04"
"353-20200404","353","IJsselstein",23,34110,67.4,"2020-04-04"
"1884-20200404","1884","Kaag en Braassem",5,27300,18.3,"2020-04-04"
"166-20200404","166","Kampen",39,54340,71.8,"2020-04-04"
"678-20200404","678","Kapelle",1,12691,7.9,"2020-04-04"
"537-20200404","537","Katwijk",12,65754,18.2,"2020-04-04"
"928-20200404","928","Kerkrade",34,45744,74.3,"2020-04-04"
"1598-20200404","1598","Koggenland",6,22752,26.4,"2020-04-04"
"542-20200404","542","Krimpen aan den IJssel",4,29533,13.5,"2020-04-04"
"1931-20200404","1931","Krimpenerwaard",29,56319,51.5,"2020-04-04"
"1659-20200404","1659","Laarbeek",27,22530,119.8,"2020-04-04"
"1685-20200404","1685","Landerd",23,15730,146.2,"2020-04-04"
"882-20200404","882","Landgraaf",27,37457,72.1,"2020-04-04"
"415-20200404","415","Landsmeer",3,11492,26.1,"2020-04-04"
"416-20200404","416","Langedijk",11,28157,39.1,"2020-04-04"
"1621-20200404","1621","Lansingerland",20,62396,32.1,"2020-04-04"
"417-20200404","417","Laren",7,11274,62.1,"2020-04-04"
"80-20200404","80","Leeuwarden",25,124058,20.2,"2020-04-04"
"546-20200404","546","Leiden",19,125174,15.2,"2020-04-04"
"547-20200404","547","Leiderdorp",6,27059,22.2,"2020-04-04"
"1916-20200404","1916","Leidschendam-Voorburg",11,76553,14.4,"2020-04-04"
"995-20200404","995","Lelystad",31,78619,39.4,"2020-04-04"
"1640-20200404","1640","Leudal",41,35896,114.2,"2020-04-04"
"327-20200404","327","Leusden",5,30399,16.4,"2020-04-04"
"1705-20200404","1705","Lingewaard",19,46606,40.8,"2020-04-04"
"553-20200404","553","Lisse",4,22957,17.4,"2020-04-04"
"262-20200404","262","Lochem",5,33730,14.8,"2020-04-04"
"809-20200404","809","Loon op Zand",17,23407,72.6,"2020-04-04"
"331-20200404","331","Lopik",12,14471,82.9,"2020-04-04"
"24-20200404","24","Loppersum",0,9533,0,"2020-04-04"
"168-20200404","168","Losser",6,22685,26.4,"2020-04-04"
"263-20200404","263","Maasdriel",11,25034,43.9,"2020-04-04"
"1641-20200404","1641","Maasgouw",16,23960,66.8,"2020-04-04"
"556-20200404","556","Maassluis",10,33216,30.1,"2020-04-04"
"935-20200404","935","Maastricht",93,121558,76.5,"2020-04-04"
"420-20200404","420","Medemblik",10,45104,22.2,"2020-04-04"
"938-20200404","938","Meerssen",9,18832,47.8,"2020-04-04"
"1948-20200404","1948","Meierijstad",142,81197,174.9,"2020-04-04"
"119-20200404","119","Meppel",4,33902,11.8,"2020-04-04"
"687-20200404","687","Middelburg",13,48810,26.6,"2020-04-04"
"1842-20200404","1842","Midden-Delfland",3,19344,15.5,"2020-04-04"
"1731-20200404","1731","Midden-Drenthe",6,33182,18.1,"2020-04-04"
"1952-20200404","1952","Midden-Groningen",4,60804,6.6,"2020-04-04"
"815-20200404","815","Mill en Sint Hubert",7,10941,64,"2020-04-04"
"1709-20200404","1709","Moerdijk",7,37136,18.8,"2020-04-04"
"1978-20200404","1978","Molenlanden",14,43931,31.9,"2020-04-04"
"1955-20200404","1955","Montferland",4,36009,11.1,"2020-04-04"
"335-20200404","335","Montfoort",11,13920,79,"2020-04-04"
"944-20200404","944","Mook en Middelaar",3,7847,38.2,"2020-04-04"
"1740-20200404","1740","Neder-Betuwe",27,24342,110.9,"2020-04-04"
"946-20200404","946","Nederweert",24,17022,141,"2020-04-04"
"356-20200404","356","Nieuwegein",21,63461,33.1,"2020-04-04"
"569-20200404","569","Nieuwkoop",6,28809,20.8,"2020-04-04"
"267-20200404","267","Nijkerk",17,43176,39.4,"2020-04-04"
"268-20200404","268","Nijmegen",88,177698,49.5,"2020-04-04"
"1930-20200404","1930","Nissewaard",23,85237,27,"2020-04-04"
"1970-20200404","1970","Noardeast-Fryslân",4,45251,8.8,"2020-04-04"
"1695-20200404","1695","Noord-Beveland",0,7395,0,"2020-04-04"
"1699-20200404","1699","Noordenveld",1,31242,3.2,"2020-04-04"
"171-20200404","171","Noordoostpolder",8,47262,16.9,"2020-04-04"
"575-20200404","575","Noordwijk",9,43528,20.7,"2020-04-04"
"820-20200404","820","Nuenen, Gerwen en Nederwetten",12,23379,51.3,"2020-04-04"
"302-20200404","302","Nunspeet",19,27845,68.2,"2020-04-04"
"579-20200404","579","Oegstgeest",5,24843,20.1,"2020-04-04"
"823-20200404","823","Oirschot",9,18723,48.1,"2020-04-04"
"824-20200404","824","Oisterwijk",10,26241,38.1,"2020-04-04"
"1895-20200404","1895","Oldambt",1,38213,2.6,"2020-04-04"
"269-20200404","269","Oldebroek",9,23645,38.1,"2020-04-04"
"173-20200404","173","Oldenzaal",10,31832,31.4,"2020-04-04"
"1773-20200404","1773","Olst-Wijhe",6,18251,32.9,"2020-04-04"
"175-20200404","175","Ommen",6,18007,33.3,"2020-04-04"
"1586-20200404","1586","Oost Gelre",3,29623,10.1,"2020-04-04"
"826-20200404","826","Oosterhout",25,55990,44.7,"2020-04-04"
"85-20200404","85","Ooststellingwerf",1,25472,3.9,"2020-04-04"
"431-20200404","431","Oostzaan",5,9733,51.4,"2020-04-04"
"432-20200404","432","Opmeer",1,11837,8.4,"2020-04-04"
"86-20200404","86","Opsterland",5,29742,16.8,"2020-04-04"
"828-20200404","828","Oss",96,91932,104.4,"2020-04-04"
"1509-20200404","1509","Oude IJsselstreek",4,39392,10.2,"2020-04-04"
"437-20200404","437","Ouder-Amstel",4,14029,28.5,"2020-04-04"
"589-20200404","589","Oudewater",16,10226,156.5,"2020-04-04"
"1734-20200404","1734","Overbetuwe",43,47909,89.8,"2020-04-04"
"590-20200404","590","Papendrecht",3,32133,9.3,"2020-04-04"
"1894-20200404","1894","Peel en Maas",117,43420,269.5,"2020-04-04"
"765-20200404","765","Pekela",4,12199,32.8,"2020-04-04"
"1926-20200404","1926","Pijnacker-Nootdorp",11,55329,19.9,"2020-04-04"
"439-20200404","439","Purmerend",47,81233,57.9,"2020-04-04"
"273-20200404","273","Putten",1,24113,4.1,"2020-04-04"
"177-20200404","177","Raalte",18,37709,47.7,"2020-04-04"
"703-20200404","703","Reimerswaal",4,22728,17.6,"2020-04-04"
"274-20200404","274","Renkum",11,31404,35,"2020-04-04"
"339-20200404","339","Renswoude",3,5448,55.1,"2020-04-04"
"1667-20200404","1667","Reusel-De Mierden",7,13110,53.4,"2020-04-04"
"275-20200404","275","Rheden",28,43736,64,"2020-04-04"
"340-20200404","340","Rhenen",3,20125,14.9,"2020-04-04"
"597-20200404","597","Ridderkerk",24,46204,51.9,"2020-04-04"
"1742-20200404","1742","Rijssen-Holten",15,38178,39.3,"2020-04-04"
"603-20200404","603","Rijswijk",14,54432,25.7,"2020-04-04"
"1669-20200404","1669","Roerdalen",18,20572,87.5,"2020-04-04"
"957-20200404","957","Roermond",36,58254,61.8,"2020-04-04"
"1674-20200404","1674","Roosendaal",15,77226,19.4,"2020-04-04"
"599-20200404","599","Rotterdam",172,651376,26.4,"2020-04-04"
"277-20200404","277","Rozendaal",1,1705,58.7,"2020-04-04"
"840-20200404","840","Rucphen",5,22873,21.9,"2020-04-04"
"518-20200404","518","s-Gravenhage",121,545163,22.2,"2020-04-04"
"441-20200404","441","Schagen",12,46482,25.8,"2020-04-04"
"279-20200404","279","Scherpenzeel",0,9880,0,"2020-04-04"
"606-20200404","606","Schiedam",23,78739,29.2,"2020-04-04"
"88-20200404","88","Schiermonnikoog",0,947,0,"2020-04-04"
"1676-20200404","1676","Schouwen-Duiveland",8,33858,23.6,"2020-04-04"
"965-20200404","965","Simpelveld",14,10552,132.7,"2020-04-04"
"1702-20200404","1702","Sint Anthonis",15,11672,128.5,"2020-04-04"
"845-20200404","845","Sint-Michielsgestel",15,29203,51.4,"2020-04-04"
"1883-20200404","1883","Sittard-Geleen",65,92422,70.3,"2020-04-04"
