"muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"777","Etten-Leur",31,43880,70.6,"2020-04-05"
"779","Geertruidenberg",9,21538,41.8,"2020-04-05"
"1771","Geldrop-Mierlo",18,39733,45.3,"2020-04-05"
"1652","Gemert-Bakel",61,30725,198.5,"2020-04-05"
"907","Gennep",12,16924,70.9,"2020-04-05"
"784","Gilze en Rijen",15,26438,56.7,"2020-04-05"
"1924","Goeree-Overflakkee",35,50049,69.9,"2020-04-05"
"664","Goes",8,38080,21,"2020-04-05"
"785","Goirle",21,23906,87.8,"2020-04-05"
"1942","Gooise Meren",16,58041,27.6,"2020-04-05"
"512","Gorinchem",11,37009,29.7,"2020-04-05"
"513","Gouda",22,73443,30,"2020-04-05"
"786","Grave",14,12437,112.6,"2020-04-05"
"14","Groningen",13,232922,5.6,"2020-04-05"
"1729","Gulpen-Wittem",10,14176,70.5,"2020-04-05"
"158","Haaksbergen",10,24309,41.1,"2020-04-05"
"788","Haaren",14,14371,97.4,"2020-04-05"
"392","Haarlem",35,162961,21.5,"2020-04-05"
"394","Haarlemmermeer",41,156039,26.3,"2020-04-05"
"1655","Halderberge",9,30277,29.7,"2020-04-05"
"160","Hardenberg",10,60940,16.4,"2020-04-05"
"243","Harderwijk",8,48429,16.5,"2020-04-05"
"523","Hardinxveld-Giessendam",1,18295,5.5,"2020-04-05"
"72","Harlingen",2,15720,12.7,"2020-04-05"
"244","Hattem",6,12213,49.1,"2020-04-05"
"396","Heemskerk",18,39188,45.9,"2020-04-05"
"397","Heemstede",8,27239,29.4,"2020-04-05"
"246","Heerde",20,18587,107.6,"2020-04-05"
"74","Heerenveen",10,50494,19.8,"2020-04-05"
"398","Heerhugowaard",22,57592,38.2,"2020-04-05"
"917","Heerlen",80,87057,91.9,"2020-04-05"
"1658","Heeze-Leende",7,16150,43.3,"2020-04-05"
"399","Heiloo",7,23974,29.2,"2020-04-05"
"163","Hellendoorn",6,35923,16.7,"2020-04-05"
"530","Hellevoetsluis",8,40158,19.9,"2020-04-05"
"794","Helmond",54,92432,58.4,"2020-04-05"
"531","Hendrik-Ido-Ambacht",3,31204,9.6,"2020-04-05"
"164","Hengelo",11,81147,13.6,"2020-04-05"
"1966","Het Hogeland",5,47834,10.5,"2020-04-05"
"252","Heumen",12,16450,72.9,"2020-04-05"
"797","Heusden",32,44699,71.6,"2020-04-05"
"534","Hillegom",5,22208,22.5,"2020-04-05"
"798","Hilvarenbeek",6,15514,38.7,"2020-04-05"
"402","Hilversum",17,90883,18.7,"2020-04-05"
"1963","Hoeksche Waard",49,87461,56,"2020-04-05"
"1735","Hof van Twente",12,35013,34.3,"2020-04-05"
"1911","Hollands Kroon",23,48434,47.5,"2020-04-05"
"118","Hoogeveen",7,55697,12.6,"2020-04-05"
"405","Hoorn",18,73232,24.6,"2020-04-05"
"1507","Horst aan de Maas",34,42433,80.1,"2020-04-05"
"321","Houten",15,50146,29.9,"2020-04-05"
"406","Huizen",13,41273,31.5,"2020-04-05"
"677","Hulst",4,27556,14.5,"2020-04-05"
"353","IJsselstein",25,34110,73.3,"2020-04-05"
"1884","Kaag en Braassem",5,27300,18.3,"2020-04-05"
"166","Kampen",39,54340,71.8,"2020-04-05"
"678","Kapelle",1,12691,7.9,"2020-04-05"
"537","Katwijk",12,65754,18.2,"2020-04-05"
"928","Kerkrade",36,45744,78.7,"2020-04-05"
"1598","Koggenland",6,22752,26.4,"2020-04-05"
"542","Krimpen aan den IJssel",4,29533,13.5,"2020-04-05"
"1931","Krimpenerwaard",32,56319,56.8,"2020-04-05"
"1659","Laarbeek",27,22530,119.8,"2020-04-05"
"1685","Landerd",25,15730,158.9,"2020-04-05"
"882","Landgraaf",29,37457,77.4,"2020-04-05"
"415","Landsmeer",3,11492,26.1,"2020-04-05"
"416","Langedijk",12,28157,42.6,"2020-04-05"
"1621","Lansingerland",22,62396,35.3,"2020-04-05"
"417","Laren",7,11274,62.1,"2020-04-05"
"80","Leeuwarden",26,124058,21,"2020-04-05"
"546","Leiden",19,125174,15.2,"2020-04-05"
"547","Leiderdorp",6,27059,22.2,"2020-04-05"
"1916","Leidschendam-Voorburg",12,76553,15.7,"2020-04-05"
"995","Lelystad",32,78619,40.7,"2020-04-05"
"1640","Leudal",46,35896,128.1,"2020-04-05"
"327","Leusden",5,30399,16.4,"2020-04-05"
"1705","Lingewaard",21,46606,45.1,"2020-04-05"
"553","Lisse",4,22957,17.4,"2020-04-05"
"262","Lochem",5,33730,14.8,"2020-04-05"
"809","Loon op Zand",19,23407,81.2,"2020-04-05"
"331","Lopik",12,14471,82.9,"2020-04-05"
"24","Loppersum",0,9533,0,"2020-04-05"
"168","Losser",6,22685,26.4,"2020-04-05"
"263","Maasdriel",12,25034,47.9,"2020-04-05"
"1641","Maasgouw",17,23960,71,"2020-04-05"
"556","Maassluis",10,33216,30.1,"2020-04-05"
